feature,mean_abs_shap
num__anchor_age,0.36853305
cat__race_UNKNOWN,0.1423379
cat__gender_F,0.12962098
cat__race_BLACK/AFRICAN AMERICAN,0.047612928
cat__race_WHITE,0.042933974
cat__race_UNABLE TO OBTAIN,0.03038641
cat__gender_M,0.026895814
cat__race_OTHER,0.008775483
cat__race_HISPANIC/LATINO - PUERTO RICAN,0.008756084
cat__race_WHITE - RUSSIAN,0.007610539
cat__race_HISPANIC OR LATINO,0.0073475232
cat__race_BLACK/CAPE VERDEAN,0.007064503
cat__race_PATIENT DECLINED TO ANSWER,0.0035399958
cat__race_ASIAN - CHINESE,0.0034671074
cat__race_ASIAN - SOUTH EAST ASIAN,0.0021747858
cat__race_BLACK/AFRICAN,0.0019028645
cat__race_PORTUGUESE,0.0016737394
cat__race_ASIAN,0.0016112233
cat__race_HISPANIC/LATINO - DOMINICAN,0.0010185251
cat__race_NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,0.00095569
cat__race_WHITE - OTHER EUROPEAN,0.0008864294
cat__race_WHITE - BRAZILIAN,0.0008074838
cat__race_HISPANIC/LATINO - GUATEMALAN,0.0007848727
cat__race_HISPANIC/LATINO - COLUMBIAN,0.00076284085
cat__race_BLACK/CARIBBEAN ISLAND,0.0006481484
cat__race_WHITE - EASTERN EUROPEAN,0.0006079034
cat__race_HISPANIC/LATINO - CENTRAL AMERICAN,0.00049739546
cat__race_HISPANIC/LATINO - HONDURAN,0.0004564995
cat__race_AMERICAN INDIAN/ALASKA NATIVE,0.00036404547
cat__race_ASIAN - ASIAN INDIAN,0.0002742399
cat__race_ASIAN - KOREAN,0.00026361702
cat__race_HISPANIC/LATINO - MEXICAN,0.00024133826
cat__race_MULTIPLE RACE/ETHNICITY,0.0002350516
cat__race_HISPANIC/LATINO - SALVADORAN,0.00014008446
cat__race_HISPANIC/LATINO - CUBAN,7.261589e-05
cat__race_SOUTH AMERICAN,2.9843188e-05
